1990	Pop_Rock     	6	145
1990	Electronic   	1	24
1990	Rap          	2	27
1991	Pop_Rock     	5	145
1991	Blues        	1	13
1992	Jazz         	1	12
1992	Pop_Rock     	6	145
1992	Rap          	1	27
1993	Electronic   	1	24
1993	Pop_Rock     	4	145
1993	RnB          	2	13
1993	Country      	1	6
1993	Blues        	1	13
1994	Blues        	2	13
1994	Electronic   	1	24
1994	Latin        	1	6
1994	Pop_Rock     	3	145
1994	Reggae       	1	8
1995	Pop_Rock     	5	145
1995	Latin        	1	6
1995	Electronic   	3	24
1995	Blues        	1	13
1996	Pop_Rock     	5	145
1996	Rap          	1	27
1996	Jazz         	1	12
1996	New Age      	1	2
1996	Folk         	1	3
1996	Reggae       	1	8
1997	Reggae       	1	8
1997	Pop_Rock     	4	145
1997	Blues        	1	13
1997	Electronic   	1	24
1997	RnB          	1	13
1998	Pop_Rock     	3	145
1998	Rap          	1	27
1998	RnB          	1	13
1998	Jazz         	1	12
1999	Jazz         	1	12
1999	Pop_Rock     	5	145
1999	Rap          	1	27
1999	RnB          	1	13
1999	New Age      	1	2
1999	Country      	1	6
2000	Pop_Rock     	8	145
2000	Jazz         	3	12
2000	Rap          	2	27
2000	RnB          	2	13
2000	Electronic   	2	24
2000	Country      	1	6
2001	Pop_Rock     	9	145
2001	Rap          	3	27
2001	Latin        	2	6
2001	Country      	1	6
2001	Blues        	1	13
2001	Electronic   	2	24
2001	RnB          	1	13
2001	Reggae       	1	8
2002	Pop_Rock     	10	145
2002	Electronic   	1	24
2002	RnB          	1	13
2002	Rap          	1	27
2003	Pop_Rock     	5	145
2003	RnB          	1	13
2003	Electronic   	1	24
2003	Reggae       	1	8
2003	International	1	2
2004	International	1	2
2004	Pop_Rock     	8	145
2004	Rap          	4	27
2004	Electronic   	1	24
2005	Country      	2	6
2005	Pop_Rock     	10	145
2005	Electronic   	2	24
2005	Jazz         	2	12
2005	Blues        	2	13
2005	RnB          	1	13
2005	Rap          	3	27
2005	Latin        	1	6
2006	Pop_Rock     	16	145
2006	Rap          	1	27
2006	Latin        	1	6
2006	Electronic   	4	24
2006	Blues        	2	13
2006	Folk         	1	3
2006	Reggae       	1	8
2007	Pop_Rock     	8	145
2007	Jazz         	1	12
2007	Rap          	1	27
2007	Blues        	1	13
2007	Folk         	1	3
2008	Pop_Rock     	14	145
2008	Rap          	3	27
2008	Reggae       	2	8
2008	Electronic   	1	24
2008	RnB          	1	13
2009	Pop_Rock     	8	145
2009	Electronic   	2	24
2009	Rap          	3	27
2009	Jazz         	1	12
2010	Pop_Rock     	3	145
2010	Electronic   	1	24
2010	Jazz         	1	12
2010	RnB          	1	13
2010	Blues        	1	13
